instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nyc.ny.0041,﻿church,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.75845643,-73.97618573,,,,﻿joh_dubois_901,﻿Right Rev.,﻿John Dubois,﻿D. D.,,,,,,,1833,﻿https://saintpatrickscathedral.org/historical-timeline,﻿,﻿,NewYork,NewYork
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.71243157,-74.00954445,,,,﻿joh_power_901,﻿Very Rev.,﻿John Power,,,,,,,,1833,﻿https://spcolr.org/st-peters-church-history,﻿,﻿,NewYork,NewYork
﻿nyc.ny.9000,﻿church,﻿Christ Church,English,,,,,,﻿New York,﻿New York City,﻿NY,,40.714803,-73.99912387,,,,﻿fel_varela_901,﻿Very Rev.,﻿Felix Varela,,,,,,,,1833,﻿https://transfigurationnyc.org/venerable-felix-varela,﻿,﻿,NewYork,NewYork
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.71581796,-73.98511226,,,,﻿wil_j_quarters_901,﻿Rev.,﻿William Quarters,,,,,,,,1833,"﻿https://en.wikipedia.org/wiki/St._Mary_Church_(Grand_Street,_Manhattan)",﻿,﻿,NewYork,NewYork
﻿alb.ny.0003,﻿church,not recorded,English,,,,,,﻿Albany,﻿Albany,﻿NY,﻿NY,42.65181929,-73.75279367,,,,﻿cha_smith_901,﻿Rev.,﻿Charles Smith,,,,,,,,1833,"﻿https://www.hist-stmarys.org/history ; very likely this church. While the cathedral is more prominent, this historic church predates all the rest in the city, and it stands to reason that, based on that fact, the St. Mary's that we see in later years refers to this church.",﻿,﻿,NewYork,NewYork
﻿bro.ny.0001,﻿church,﻿St. James,English,"﻿""L.I.""",,,,,﻿Brooklyn,﻿Brooklyn,﻿NY,﻿NY,40.697056,-73.986667,,,,﻿joh_walsh_901,﻿Rev.,﻿John Walsh,,,,,,,,1833,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._James_(Brooklyn) ; https://brooklyncathedral.org/history,﻿,﻿,NewYork,NewYork
﻿buf.ny.0006,﻿church,not recorded,English,,,,,﻿Erie County,﻿Buffalo,﻿Buffalo,﻿NY,﻿NY,42.895428,-78.871729,,,,﻿nic_mertz_901,﻿Rev.,﻿Nicholas Mertz,,,,,,,,1833,"﻿https://en.wikipedia.org/wiki/St._Louis_Roman_Catholic_Church#:~:text=Saint%20Louis%20Roman%20Catholic%20Church,Roman%20Catholic%20Diocese%20of%20Buffalo%22. ; while St. Joseph's is more notable, and is the main church in the later almanac years of the 1860s/1870s, it appears that this is the only surviving pre-1833 church in the city. For that reason, I am going with this church as opposed to the one that appears first in the diocese later on.",﻿,﻿,NewYork,NewYork
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Carthage,﻿Carthage,﻿NY,﻿NY,43.97826491,-75.60778008,,,,﻿#REF!,﻿Rev.,﻿James Cahill,,,,,,,,1833,﻿http://www.catholicsofcarthagecopenhagen.org/,﻿,﻿,NewYork,NewYork
﻿roc.ny.0014,﻿church,not recorded,English,,﻿near Rochester,,﻿Monroe County,﻿Monroe County,﻿Greece,﻿Greece,﻿NY,﻿NY,43.25270989,-77.65895257,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,NewYork,NewYork
﻿nyc.ny.9001,﻿church,not recorded,English,,,,,,﻿Greenwich Village,﻿New York City,﻿NY,﻿NY,40.73253257,-74.00066937,,,,﻿pat_duffy_901,﻿Rev.,﻿Patrick Duffy,,,,,,,,1833,﻿https://www.stjosephgv.nyc/about#history,﻿,﻿,NewYork,NewYork
